Address,Latitude,Longitude
天津市蓟县渔阳南路19号,40.048565958582856,117.41254097857022
天津市塘沽区渤海石油路10号,38.998691419689656,117.70790957940623
天津市大港区生活区,39.05884675057097,117.72311573575693
天津市和平区贵阳路40号,39.12266698409154,117.19776978537823
天津市南开区广开四马路卿云里16号,39.14091681520762,117.16955903982068
天津市红桥区晓春里芥园大街58号,39.15112732134882,117.15309929813081
天津市红桥区西于庄城防里大街35号,39.17328564656417,117.15751788327329
天津市红旗路保同南里天拖宿舍7号楼,39.11591557411714,117.15577049939527
天津市红桥区丁字沽勤检道65号,39.17328564656417,117.15751788327329
天津市大港区胜利街,39.038190460152805,116.91439509021978
天津市红桥区丁字沽一号路44号,39.18752086049218,117.16455592728286
天津市南开区水上公园路14号,39.10059006299635,117.1761365225953
天津市红桥区邵公庄后大道2号,39.15811053899937,117.16414423386763
